familia_id,values
c59807ac-0362-4078-94b0-37ea3df6cdd0,302
39792668-5cfd-42c2-8872-ad776e9bad70,279
ba89fcc3-bb1b-42af-a754-2d9f639e43ab,266
95f835a3-03fe-40f1-a813-4fbfd2842845,257
1b93b30c-833f-45a8-ba69-c21d2e7f4824,255
2514d6c8-11e6-4692-87b4-dcc1cd18592c,236
1dc55e58-a5c3-462c-b73d-8dd480de90fc,235
6598b655-3e19-448c-8b4f-ff6a29447b34,234
c6b81db8-29ed-43d6-b14d-0fd913d7ce36,215
141f32d6-a5af-49bf-b019-fd28354977f1,131
b263ba41-adab-4a83-a3e0-2766522f5aec,86
882ecdf8-325d-4826-a066-1b263e438f09,85
88ee8b83-a7fe-4c00-8f12-621b209012fd,79
9c5a3fee-dad0-444a-acb3-c059e2f3db20,77
35405a7d-7018-440b-9d16-76206ac3e224,72
3087da56-5a27-4e58-aea7-1555c640f232,45
e1646b68-8f10-4b63-87d5-30924341f8ba,38
74ba5e25-afd5-490b-a3a8-2175020c4487,28
07bee010-39f3-4200-9250-c1524842e6a6,12
